date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:12:08	1180/1180	---M-Z	200	added ('OK')	application/javascript	etag:%2249c-5f05407e08be7-gzip%22	https://themesbrand.com/hybrix/html/assets/js/pages/gmaps.init.js	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/js/pages/gmaps.init.js	(from https://themesbrand.com/hybrix/html/maps-google.html)
01:12:08	125242/125242	---M-Z	200	added ('OK')	application/javascript	etag:%221e93a-5f05407e1e3a7-gzip%22	https://themesbrand.com/hybrix/html/assets/libs/jsvectormap/maps/canada.js	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/jsvectormap/maps/canada.js	(from https://themesbrand.com/hybrix/html/maps-vector.html)
01:12:09	75906/75906	---M-Z	200	added ('OK')	application/javascript	etag:%2212882-5f05407e1e3a7-gzip%22	https://themesbrand.com/hybrix/html/assets/libs/jsvectormap/maps/spain.js	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/jsvectormap/maps/spain.js	(from https://themesbrand.com/hybrix/html/maps-vector.html)
01:12:09	179781/179781	---M-Z	200	added ('OK')	application/javascript	etag:%222be45-5f05407e1e3a7-gzip%22	https://themesbrand.com/hybrix/html/assets/libs/jsvectormap/maps/russia.js	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/jsvectormap/maps/russia.js	(from https://themesbrand.com/hybrix/html/maps-vector.html)
01:12:10	4023/4023	---M-Z	200	added ('OK')	application/javascript	etag:%22fb7-5f05407e09b87-gzip%22	https://themesbrand.com/hybrix/html/assets/js/pages/vector-maps.init.js	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/js/pages/vector-maps.init.js	(from https://themesbrand.com/hybrix/html/maps-vector.html)
01:12:11	14001/14001	---M-Z	200	added ('OK')	text/css	etag:%2236b1-5f05407e202e7-gzip%22	https://themesbrand.com/hybrix/html/assets/libs/leaflet/leaflet.css	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/leaflet/leaflet.css	(from https://themesbrand.com/hybrix/html/maps-leaflet.html)
01:12:12	146715/146715	---M-Z	200	added ('OK')	application/javascript	etag:%2223d1b-5f05407e21287-gzip%22	https://themesbrand.com/hybrix/html/assets/libs/leaflet/leaflet.js	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/leaflet/leaflet.js	(from https://themesbrand.com/hybrix/html/maps-leaflet.html)
01:12:12	88384/88384	---M-Z	200	added ('OK')	application/javascript	etag:%2215940-5f05407e08be7-gzip%22	https://themesbrand.com/hybrix/html/assets/js/pages/leaflet-us-states.js	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/js/pages/leaflet-us-states.js	(from https://themesbrand.com/hybrix/html/maps-leaflet.html)
01:12:12	4811/4811	---M-Z	200	added ('OK')	application/javascript	etag:%2212cb-5f05407e08be7-gzip%22	https://themesbrand.com/hybrix/html/assets/js/pages/leaflet-map.init.js	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/js/pages/leaflet-map.init.js	(from https://themesbrand.com/hybrix/html/maps-leaflet.html)
01:12:12	1149/1149	---M--	200	added ('OK')	image/svg+xml	etag:%2247d-5f05407e0ab27%22	https://themesbrand.com/hybrix/html/assets/libs/@tarekraafat/autocomplete.js/css/images/search.svg	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/@tarekraafat/autocomplete.js/css/images/search.svg	(from https://themesbrand.com/hybrix/html/assets/libs/@tarekraafat/autocomplete.js/css/autoComplete.css)
01:12:13	696/696	---M--	200	added ('OK')	image/png	etag:%222b8-5f05407e1f347%22	https://themesbrand.com/hybrix/html/assets/libs/leaflet/images/layers.png	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/leaflet/images/layers.png	(from https://themesbrand.com/hybrix/html/assets/libs/leaflet/leaflet.css)
01:12:13	1259/1259	---M--	200	added ('OK')	image/png	etag:%224eb-5f05407e1f347%22	https://themesbrand.com/hybrix/html/assets/libs/leaflet/images/layers-2x.png	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/leaflet/images/layers-2x.png	(from https://themesbrand.com/hybrix/html/assets/libs/leaflet/leaflet.css)
01:12:14	1466/1466	---M--	200	added ('OK')	image/png	etag:%225ba-5f05407e1f347%22	https://themesbrand.com/hybrix/html/assets/libs/leaflet/images/marker-icon.png	C:/Users/muham/Desktop/BackTempSymf/themesbrand.com/hybrix/html/assets/libs/leaflet/images/marker-icon.png	(from https://themesbrand.com/hybrix/html/assets/libs/leaflet/leaflet.css)
